mesh_ui,canonical,synonym
D016670,Gabexate,"gabexate monomethanesulfonate, 14c-labeled cpd"
D016677,Tocainide,tocainide monohydrochloride
D016677,Tocainide,tocainide
D016677,Tocainide,"tocainide monohdyrochloride, (r)-isomer"
D016677,Tocainide,w-36095
D016677,Tocainide,"tocainide monohydrochloride, (s)-isomer"
D016677,Tocainide,"tocainide, (+-)-isomer"
D016677,Tocainide,"tocainide monohydrobromide, (r)-isomer"
D016677,Tocainide,"tocainide, (s)-isomer"
D016677,Tocainide,"tocainide monohydrochloride, (+-)-isomer"
D016677,Tocainide,xylotocan
D016677,Tocainide,tonocard
D016677,Tocainide,"tocainide, (r)-isomer"
D016682,Lupus Coagulation Inhibitor,lupus coagulation inhibitor
D016685,Mitomycin,mutamycin
D016685,Mitomycin,nsc-26980
D016685,Mitomycin,mitomycin
D016685,Mitomycin,mitocin-c
D016685,Mitomycin,ametycine
D016686,Monocrotaline,"monocrotaline hydrochloride (13alpha,14alpha)-isomer"
D016686,Monocrotaline,"monocrotaline, (all-xi)-isomer"
D016686,Monocrotaline,monocrotaline
D016687,Polydioxanone,polydioxanone
D016687,Polydioxanone,absolok
D016687,Polydioxanone,pds ii (ethicon)
D016692,"Receptors, Antigen, T-Cell, gamma-delta",t-cell receptors delta-chain
D016692,"Receptors, Antigen, T-Cell, gamma-delta","receptors, antigen, t-cell, gamma-delta"
D016692,"Receptors, Antigen, T-Cell, gamma-delta","antigen t cell receptor, gamma chain"
D016693,"Receptors, Antigen, T-Cell, alpha-beta",t-cell receptors alpha-chain
D016693,"Receptors, Antigen, T-Cell, alpha-beta","antigen t cell receptor, beta chain"
D016693,"Receptors, Antigen, T-Cell, alpha-beta","receptors, antigen, t-cell, alpha-beta"
D016695,Glycosyltransferases,glycosyltransferases
D016698,Technetium Tc 99m Pyrophosphate,technetium tc 99m pyrophosphate
D016698,Technetium Tc 99m Pyrophosphate,"technetium tc 99m pyrophosphate, tc(3+) salt (3:4)"
D016698,Technetium Tc 99m Pyrophosphate,"technetium tc 99m pyrophosphate, tc(4+) salt (1:1)"
D016700,Encainide,mj-9067
