mesh_ui,canonical,synonym
D002824,Chorionic Villi,chorionic villi
D002824,Chorionic Villi,labyrinthine placenta
D002829,Choroid,choroid
D002829,Choroid,haller's layer
D002829,Choroid,sattler layer
D002829,Choroid,choriocapillaris
D002831,Choroid Plexus,choroid plexus
D002837,Chromaffin Granules,chromaffin granules
D002838,Chromaffin System,chromaffin system
D002842,Chromatids,chromatids
D002843,Chromatin,chromatin
D002856,Chromatophores,chromatophores
D002875,Chromosomes,chromosomes
D002876,"Chromosomes, Bacterial","chromosomes, bacterial"
D002877,"Chromosomes, Human","chromosomes, human"
D002878,"Chromosomes, Human, Pair 1","chromosomes, human, pair 1"
D002879,"Chromosomes, Human, Pair 10","chromosomes, human, pair 10"
D002880,"Chromosomes, Human, Pair 11","chromosomes, human, pair 11"
D002881,"Chromosomes, Human, Pair 12","chromosomes, human, pair 12"
D002882,"Chromosomes, Human, Pair 13","chromosomes, human, pair 13"
D002883,"Chromosomes, Human, Pair 14","chromosomes, human, pair 14"
D002884,"Chromosomes, Human, Pair 15","chromosomes, human, pair 15"
D002885,"Chromosomes, Human, Pair 16","chromosomes, human, pair 16"
D002886,"Chromosomes, Human, Pair 17","chromosomes, human, pair 17"
D002887,"Chromosomes, Human, Pair 18","chromosomes, human, pair 18"
D002888,"Chromosomes, Human, Pair 19","chromosomes, human, pair 19"
D002889,"Chromosomes, Human, Pair 2","chromosomes, human, pair 2"
D002890,"Chromosomes, Human, Pair 20","chromosomes, human, pair 20"
D002891,"Chromosomes, Human, Pair 21","chromosomes, human, pair 21"
D002892,"Chromosomes, Human, Pair 22","chromosomes, human, pair 22"
D002893,"Chromosomes, Human, Pair 3","chromosomes, human, pair 3"
D002894,"Chromosomes, Human, Pair 4","chromosomes, human, pair 4"
D002895,"Chromosomes, Human, Pair 5","chromosomes, human, pair 5"
D002896,"Chromosomes, Human, Pair 6","chromosomes, human, pair 6"
D002897,"Chromosomes, Human, Pair 7","chromosomes, human, pair 7"
D002898,"Chromosomes, Human, Pair 8","chromosomes, human, pair 8"
D002899,"Chromosomes, Human, Pair 9","chromosomes, human, pair 9"
D002900,"Chromosomes, Human, 1-3","chromosomes, human, 1-3"
D002901,"Chromosomes, Human, 13-15","chromosomes, human, 13-15"
D002902,"Chromosomes, Human, 16-18","chromosomes, human, 16-18"
D002903,"Chromosomes, Human, 19-20","chromosomes, human, 19-20"
D002904,"Chromosomes, Human, 21-22 and Y","chromosomes, human, 21-22 and y"
D002904,"Chromosomes, Human, 21-22 and Y","chromosomes, human, 21-22"
D002905,"Chromosomes, Human, 4-5","chromosomes, human, 4-5"
D002906,"Chromosomes, Human, 6-12 and X","chromosomes, human, 6-12"
D002906,"Chromosomes, Human, 6-12 and X","chromosomes, human, 6-12 and x"
D002913,Chyle,chyle
D002921,Cicatrix,cicatrization
D002921,Cicatrix,cicatrix
D002923,Cilia,nodal cilia
D002923,Cilia,motile cilia
D002923,Cilia,cilia
D002923,Cilia,primary cilia
D002924,Ciliary Body,ciliary body
D002941,Circle of Willis,circle of willis
D002946,Cisterna Magna,cisterna magna
D002968,Clavicle,collar bone
D002968,Clavicle,clavicle
D002970,"Cleavage Stage, Ovum","cleavage stage, ovum"
D002987,Clitoris,clitoris
D002988,Cloaca,cloaca
D002999,Clone Cells,clone cells
D003034,"Coated Pits, Cell-Membrane","coated pits, cell-membrane"
D003050,Coccyx,caudal vertebrae
D003050,Coccyx,coccyx
D003051,Cochlea,cochlea
D003052,Cochlear Aqueduct,cochlear aqueduct
D003053,Cochlear Duct,cochlear duct
D003056,Cochlear Nerve,cochlear nerve
D003106,Colon,taenia coli
D003106,Colon,appendix epiploica
D003106,Colon,colon
D003126,Colostrum,colostrum
D003129,Comb and Wattles,comb
D003129,Comb and Wattles,comb and wattles
D003129,Comb and Wattles,wattles
D003135,Common Bile Duct,common bile duct
D003228,Conjunctiva,conjunctiva
D003228,Conjunctiva,bulbar conjunctiva
D003228,Conjunctiva,plica semilunaris of conjunctiva
D003228,Conjunctiva,palpebral conjunctiva
D003238,Connective Tissue,connective tissue
D003239,Connective Tissue Cells,connective tissue cells
D003315,Cornea,cornea
D003319,Corneal Stroma,corneal stroma
D003331,Coronary Vessels,coronary vessels
D003331,Coronary Vessels,sinus node artery
D003331,Coronary Vessels,coronary veins
D003331,Coronary Vessels,coronary arteries
D003335,Corpora Allata,corpus cardiacum
D003335,Corpora Allata,corpora allata
D003336,Tectum Mesencephali,tectum mesencephali
D003336,Tectum Mesencephali,commissure of superior colliculus
D003336,Tectum Mesencephali,commissure of inferior colliculus
D003336,Tectum Mesencephali,corpora quadrigemina
D003337,Corpus Callosum,corpus callosum
D003338,Corpus Luteum,corpus luteum
D003342,Corpus Striatum,lenticular nucleus
D003342,Corpus Striatum,corpus striatum
D003388,"Cranial Fossa, Posterior","cranial fossa, posterior"
D003388,"Cranial Fossa, Posterior",clivus
D003391,Cranial Nerves,cranial nerves
D003392,Cranial Sinuses,cranial sinuses
D003393,Cranial Sutures,cranial sutures
D003413,Cricoid Cartilage,cricoid cartilage
D003426,"Crop, Avian","crop, avian"
D003481,Cuspid,cuspid
D003549,Cystic Duct,cystic duct
D003593,Cytoplasm,protoplasm
D003593,Cytoplasm,cytoplasm
D003594,Cytoplasmic Granules,cytoplasmic granules
D003599,Cytoskeleton,cytoskeleton
D003599,Cytoskeleton,microtrabecular lattice
D003599,Cytoskeleton,cytoplasmic filaments
D003599,Cytoskeleton,cytoskeletal filaments
D003600,Cytosol,cytosol
D003656,Decidua,decidua
D003689,"Vestibular Nucleus, Lateral","vestibular nucleus, lateral"
D003712,Dendrites,dendrites
D003713,Dendritic Cells,plasmacytoid dendritic cells
D003713,Dendritic Cells,veiled cells
D003713,Dendritic Cells,interstitial dendritic cells
D003713,Dendritic Cells,interdigitating cells
D003713,Dendritic Cells,dendritic cells
D003724,Dental Arch,dental arch
D003739,Dental Cementum,cementoblasts
D003739,Dental Cementum,dental cementum
D003743,Dental Enamel,dental enamel
D003743,Dental Enamel,enamel cuticle
D003750,Dental Fissures,dental fissures
D003771,Dental Papilla,dental papilla
D003782,Dental Pulp,dental pulp
D003786,Dental Pulp Cavity,pulp chamber
D003786,Dental Pulp Cavity,pulp canal
D003786,Dental Pulp Cavity,dental pulp cavity
D003795,Dental Sac,dental sac
D003804,Dentin,dentin
D003809,"Dentin, Secondary","dentin, secondary"
D003817,Dentition,dentition
D003818,"Dentition, Mixed","dentition, mixed"
D003886,Descemet Membrane,descemet membrane
D003896,Desmosomes,desmosomes
D003964,Diaphragm,diaphragm
D004027,Diencephalon,diencephalon
D004064,Digestive System,digestive system
D004302,Dorsomedial Hypothalamic Nucleus,dorsomedial hypothalamic nucleus
D004312,Douglas' Pouch,douglas' pouch
D004373,Ductus Arteriosus,ductus arteriosus
D004386,Duodenum,duodenum
D004388,Dura Mater,tentorium cerebelli
D004388,Dura Mater,dura mater
D004388,Dura Mater,falx cerebelli
D004388,Dura Mater,falx cerebri
D004423,Ear,ear
D004424,Ear Canal,ear canal
D004425,Ear Cartilage,auricular cartilage
D004425,Ear Cartilage,ear cartilage
D004429,Ear Ossicles,ear ossicles
D004431,"Ear, External","ear, external"
D004432,"Ear, Middle",tympanic cavity
D004432,"Ear, Middle","ear, middle"
D004439,Eccrine Glands,eccrine glands
D004475,Ectoderm,apical ectodermal ridge
D004475,Ectoderm,ectoderm
D004525,Efferent Pathways,efferent pathways
D004525,Efferent Pathways,motor pathways
D004528,Egg Shell,egg shell
D004530,Egg Yolk,egg yolk
D004543,Ejaculatory Ducts,ejaculatory ducts
D004547,Elastic Tissue,elastic tissue
D004547,Elastic Tissue,elastic fibers
D004550,Elbow,elbow
D004551,Elbow Joint,elbow joint
D004557,Electric Organ,electric organ
D004622,"Embryo, Mammalian","embryo, mammalian"
D004622,"Embryo, Mammalian","embryonic structures, mammalian"
D004625,"Embryo, Nonmammalian","embryo, nonmammalian"
D004625,"Embryo, Nonmammalian","embryonic structures, nonmammalian"
D004628,Embryonic Structures,embryonic structures
D004628,Embryonic Structures,presumptive structures
D004628,Embryonic Structures,embryo
D004628,Embryonic Structures,prenatal structures
D004658,Enamel Organ,enamel organ
D004699,Endocardium,endocardium
