mesh_ui,canonical,synonym
D006326,Heart Auscultation,heart auscultation
D006328,Cardiac Catheterization,cardiac catheterization
D006334,Heart Function Tests,heart function tests
D006339,Heart Rate,"chronotropism, cardiac"
D006339,Heart Rate,heart rate
D006339,Heart Rate,cardiac chronotropy
D006339,Heart Rate,pulse rate
D006383,Hemadsorption Inhibition Tests,hemadsorption inhibition tests
D006385,Hemagglutination Inhibition Tests,hemagglutination inhibition tests
D006386,Hemagglutination Tests,hemagglutination tests
D006400,Hematocrit,hematocrit
D006403,Hematologic Tests,hematologic tests
D006452,Hemoglobinometry,hemoglobinometry
D006462,Hemolytic Plaque Technique,hemolytic plaque technique
D006580,Genetic Carrier Screening,genetic carrier screening
D006650,Histocompatibility Testing,histocompatibility testing
D006650,Histocompatibility Testing,hla typing
D006651,Histocytochemistry,histocytochemistry
D006651,Histocytochemistry,cytochemistry
D006652,Histological Techniques,histological techniques
D006696,Holography,holography
D007047,Hysterosalpingography,hysterosalpingography
D007047,Hysterosalpingography,salpingography
D007089,Image Enhancement,image enhancement
D007090,"Image Interpretation, Computer-Assisted","image interpretation, computer-assisted"
D007104,Immune Adherence Reaction,immune adherence reaction
D007122,Immunoelectrophoresis,immunoelectrophoresis
D007123,"Immunoelectrophoresis, Two-Dimensional","immunoelectrophoresis, two-dimensional"
D007150,Immunohistochemistry,immunogold techniques
D007150,Immunohistochemistry,immunogold-silver techniques
D007150,Immunohistochemistry,immunocytochemistry
D007150,Immunohistochemistry,immunohistocytochemistry
D007150,Immunohistochemistry,immunohistochemistry
D007150,Immunohistochemistry,immunolabeling techniques
D007159,Immunologic Tests,immunologic tests
D007159,Immunologic Tests,immunodiagnosis
D007320,Inspiratory Capacity,inspiratory capacity
D007321,Inspiratory Reserve Volume,inspiratory reserve volume
D007327,Insufflation,insufflation
D007428,Intradermal Tests,passive transfer test
D007428,Intradermal Tests,intradermal tests
D007620,Karyometry,karyometric image analysis
D007620,Karyometry,karyometry
D007621,Karyotyping,karyotyping
D007677,Kidney Function Tests,kidney function tests
D007702,Kinetocardiography,kinetocardiography
D007702,Kinetocardiography,apex cardiography
D007702,Kinetocardiography,accelography
D007731,Kveim Test,kveim test
D007734,Kymography,kymography
D007789,Lactose Tolerance Test,lactose tolerance test
D007828,Laryngoscopy,laryngoscopic surgical procedures
D007828,Laryngoscopy,laryngoscopy
D007841,Latex Fixation Tests,latex fixation tests
